adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,status_code,status_message,success
False,/9rbMA8TMD9T6QosUDKdNffXal6S.jpg,,0.0,"[{'id': 18, 'name': 'Drame'}, {'id': 35, 'name': 'Comédie'}]",,1201916.0,tt26658067,en,Just in Time for the Holidays,,0.0,/92PntfVvmaKvstceYNjv0NJZLwN.jpg,[],[],2023-11-07,0.0,86.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Just in Time for the Holidays,False,0.0,0.0,,,
False,/oNdBQEl08KospEOlvCte7gchVFo.jpg,,0.0,"[{'id': 18, 'name': 'Drame'}]",,1201912.0,tt24325924,en,Giving Thanks,,0.0,/gLnESk4hgbzc0NyRyeamQJC7KhY.jpg,[],[],2023-11-07,0.0,70.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Giving Thanks,False,0.0,0.0,,,
False,/93HWmPqWnqodS91fZXHntz4pW9t.jpg,,0.0,"[{'id': 18, 'name': 'Drame'}, {'id': 10749, 'name': 'Romance'}]",,1201908.0,tt26899004,en,Curves Under the Mistletoe,,0.0,/lQgMuQtuZXtquFypI52WzJBozCe.jpg,[],[],2023-11-07,0.0,145.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Curves Under the Mistletoe,False,0.0,0.0,,,
False,/a3h4CIVXO5tmB9F24nzfIh7EEoO.jpg,,0.0,"[{'id': 18, 'name': 'Drame'}]",,1201895.0,tt26984916,en,A Coldhearted Christmas,,0.0,/lLMuKCJc3sJQdGTeBouFUnoi4u3.jpg,[],[],2023-11-07,0.0,72.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,A Coldhearted Christmas,False,0.0,0.0,,,
False,/cRfGZ2HPpNSikt2MMmFlwiskNPm.jpg,,0.0,"[{'id': 18, 'name': 'Drame'}, {'id': 10749, 'name': 'Romance'}]",,1201891.0,tt29265216,en,A Christmas Family Secret,,0.0,/daScGIOIBHFpJBKnLZyiGw1Ehsu.jpg,[],[],2023-11-07,0.0,87.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,A Christmas Family Secret,False,0.0,0.0,,,
False,/38LcXLrrfnY5RsMxAP7iQzDjN9j.jpg,,0.0,"[{'id': 18, 'name': 'Drame'}]",,1201865.0,tt25397596,en,Sleigh Queen,,0.0,/1Ix8f7YEbapydYG3y4sZnDktYUd.jpg,[],[],2023-11-07,0.0,81.0,[],Released,,Sleigh Queen,False,0.0,0.0,,,
False,/uSmxYmKy163rm7Hr7rjSEVO6ZCc.jpg,,0.0,"[{'id': 27, 'name': 'Horreur'}, {'id': 53, 'name': 'Thriller'}]",,1201834.0,tt28445241,en,Black Santa,,0.0,/e8L17Erxzr5ErUl8PrgRyDHXpKL.jpg,[],[],2023-11-07,0.0,83.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Black Santa,False,0.0,0.0,,,
False,,,0.0,"[{'id': 18, 'name': 'Drame'}]",,1201826.0,tt27761490,en,Nganù,,0.0,,"[{'id': 212946, 'logo_path': None, 'name': 'Kang Quintus Films', 'origin_country': ''}]","[{'iso_3166_1': 'CM', 'name': 'Cameroon'}]",2023-11-07,0.0,101.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Nganù,False,0.0,0.0,,,
False,,,0.0,[],,1201773.0,tt21296060,el,Rapsodos,,0.0,/lq0xlMBLYb86gmNiRGiv2IUKGk9.jpg,[],"[{'iso_3166_1': 'GR', 'name': 'Greece'}]",2023-11-07,0.0,87.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Greek', 'iso_639_1': 'el', 'name': 'ελληνικά'}]",Released,,Rapsodos,False,0.0,0.0,,,
False,/hpxark3a9D32z5yYBg8QtW78U3R.jpg,,0.0,"[{'id': 35, 'name': 'Comédie'}]",,1201771.0,tt29692589,en,The Improv: 60 and Still Standing,,0.0,/yFU4njzGXrLNdISXzRdUuumZnkZ.jpg,[],[],2023-11-07,0.0,80.0,[],Released,,The Improv: 60 and Still Standing,False,0.0,0.0,,,
